Frame; Time (ms);Time (s);Delta
1;0;0;8,058
2;8,058;0,008058;8,186
3;16,244;0,016244;8,195
4;24,439;0,024439;8,317
5;32,756;0,032756;8,299
6;41,055;0,041055;8,692
7;49,747;0,049747;8,31
8;58,057;0,058057;8,367
9;66,424;0,066424;8,125
10;74,549;0,074549;8,401
11;82,95;0,08295;8,749
12;91,699;0,091699;8,373
13;100,072;0,100072;8,657
14;108,729;0,108729;8,424
15;117,153;0,117153;8,591
16;125,744;0,125744;8,539
17;134,283;0,134283;8,514
18;142,797;0,142797;8,33
19;151,127;0,151127;8,299
20;159,426;0,159426;8,403
21;167,829;0,167829;8,451
22;176,28;0,17628;8,269
23;184,549;0,184549;9,24
24;193,789;0,193789;8,321
25;202,11;0,20211;8,391
26;210,501;0,210501;8,285
27;218,786;0,218786;8,317
28;227,103;0,227103;8,373
29;235,476;0,235476;8,205
30;243,681;0,243681;8,407
31;252,088;0,252088;8,252
32;260,34;0,26034;9,035
33;269,375;0,269375;8,306
34;277,681;0,277681;8,835
35;286,516;0,286516;8,375
36;294,891;0,294891;8,497
37;303,388;0,303388;8,53
38;311,918;0,311918;8,431
39;320,349;0,320349;8,166
40;328,515;0,328515;8,341
41;336,856;0,336856;8,259
42;345,115;0,345115;8,272
43;353,387;0,353387;9,113
44;362,5;0,3625;10,121
45;372,621;0,372621;8,277
46;380,898;0,380898;8,61
47;389,508;0,389508;8,771
48;398,279;0,398279;8,529
49;406,808;0,406808;8,354
50;415,162;0,415162;8,198
51;423,36;0,42336;8,394
52;431,754;0,431754;8,252
53;440,006;0,440006;8,221
54;448,227;0,448227;8,482
55;456,709;0,456709;8,202
56;464,911;0,464911;8,309
57;473,22;0,47322;8,392
58;481,612;0,481612;8,132
59;489,744;0,489744;8,342
60;498,086;0,498086;8,585
61;506,671;0,506671;8,416
62;515,087;0,515087;8,514
63;523,601;0,523601;8,837
64;532,438;0,532438;8,601
65;541,039;0,541039;8,573
66;549,612;0,549612;8,436
67;558,048;0,558048;8,381
68;566,429;0,566429;8,399
69;574,828;0,574828;8,481
70;583,309;0,583309;8,234
71;591,543;0,591543;8,212
72;599,755;0,599755;8,81
73;608,565;0,608565;8,809
74;617,374;0,617374;8,247
75;625,621;0,625621;8,229
76;633,85;0,63385;8,323
77;642,173;0,642173;8,313
78;650,486;0,650486;8,935
79;659,421;0,659421;9,423
80;668,844;0,668844;8,894
81;677,738;0,677738;8,408
82;686,146;0,686146;8,284
83;694,43;0,69443;8,547
84;702,977;0,702977;8,446
85;711,423;0,711423;8,228
86;719,651;0,719651;8,19
87;727,841;0,727841;8,302
88;736,143;0,736143;8,399
89;744,542;0,744542;8,277
90;752,819;0,752819;8,274
91;761,093;0,761093;8,158
92;769,251;0,769251;9,72
93;778,971;0,778971;8,27
94;787,241;0,787241;8,967
