Frame; Time (ms); Time (s); Delta
1;0;0;0
2;8,06;0,01;8,06
3;16,24;0,02;8,18
4;24,44;0,02;8,2
5;32,76;0,03;8,32
6;41,06;0,04;8,3
7;49,75;0,05;8,69
8;58,06;0,06;8,31
9;66,42;0,07;8,36
10;74,55;0,07;8,13
11;82,95;0,08;8,4
12;91,7;0,09;8,75
13;100,07;0,1;8,37
14;108,73;0,11;8,66
15;117,15;0,12;8,42
16;125,74;0,13;8,59
17;134,28;0,13;8,54
18;142,8;0,14;8,52
19;151,13;0,15;8,33
20;159,43;0,16;8,3
21;167,83;0,17;8,4
22;176,28;0,18;8,45
23;184,55;0,18;8,27
24;193,79;0,19;9,24
25;202,11;0,2;8,32
26;210,5;0,21;8,39
27;218,79;0,22;8,29
28;227,1;0,23;8,31
29;235,48;0,24;8,38
30;243,68;0,24;8,2
31;252,09;0,25;8,41
32;260,34;0,26;8,25
33;269,38;0,27;9,04
34;277,68;0,28;8,3
35;286,52;0,29;8,84
36;294,89;0,29;8,37
37;303,39;0,3;8,5
38;311,92;0,31;8,53
39;320,35;0,32;8,43
40;328,52;0,33;8,17
41;336,86;0,34;8,34
42;345,12;0,35;8,26
43;353,39;0,35;8,27
44;362,5;0,36;9,11
45;372,62;0,37;10,12
46;380,9;0,38;8,28
47;389,51;0,39;8,61
48;398,28;0,4;8,77
49;406,81;0,41;8,53
50;415,16;0,42;8,35
51;423,36;0,42;8,2
52;431,75;0,43;8,39
53;440,01;0,44;8,26
54;448,23;0,45;8,22
55;456,71;0,46;8,48
56;464,91;0,46;8,2
57;473,22;0,47;8,31
58;481,61;0,48;8,39
59;489,74;0,49;8,13
60;498,09;0,5;8,35
61;506,67;0,51;8,58
62;515,09;0,52;8,42
63;523,6;0,52;8,51
64;532,44;0,53;8,84
65;541,04;0,54;8,6
66;549,61;0,55;8,57
67;558,05;0,56;8,44
68;566,43;0,57;8,38
69;574,83;0,57;8,4
70;583,31;0,58;8,48
71;591,54;0,59;8,23
72;599,76;0,6;8,22
73;608,57;0,61;8,81
74;617,37;0,62;8,8
75;625,62;0,63;8,25
76;633,85;0,63;8,23
77;642,17;0,64;8,32
78;650,49;0,65;8,32
79;659,42;0,66;8,93
80;668,84;0,67;9,42
81;677,74;0,68;8,9
82;686,15;0,69;8,41
83;694,43;0,69;8,28
84;702,98;0,7;8,55
85;711,42;0,71;8,44
86;719,65;0,72;8,23
87;727,84;0,73;8,19
88;736,14;0,74;8,3
89;744,54;0,74;8,4
90;752,82;0,75;8,28
91;761,09;0,76;8,27
92;769,25;0,77;8,16
93;778,97;0,78;9,72
94;787,24;0,79;8,27
95;796,21;0,8;8,97
96;804,82;0,8;8,61
97;812,99;0,81;8,17
98;821,6;0,82;8,61
99;830,74;0,83;9,14
100;839,17;0,84;8,43
101;847,67;0,85;8,5
102;855,9;0,86;8,23
103;864,16;0,86;8,26
104;872,34;0,87;8,18
105;880,84;0,88;8,5
106;889,2;0,89;8,36
107;897,46;0,9;8,26
108;906,01;0,91;8,55
109;914,37;0,91;8,36
110;922,7;0,92;8,33
111;931,2;0,93;8,5
112;940,36;0,94;9,16
113;948,78;0,95;8,42
114;957,22;0,96;8,44
115;965,56;0,97;8,34
116;973,79;0,97;8,23
117;982,26;0,98;8,47
118;990,64;0,99;8,38
119;1000,08;1;9,44
120;1009,3;1,01;9,22
121;1017,78;1,02;8,48
122;1026,6;1,03;8,82
123;1035,16;1,04;8,56
124;1043,71;1,04;8,55
125;1052,23;1,05;8,52
126;1060,56;1,06;8,33
127;1068,84;1,07;8,28
128;1077,51;1,08;8,67
129;1085,97;1,09;8,46
130;1095,35;1,1;9,38
131;1103,63;1,1;8,28
132;1112,02;1,11;8,39
133;1120,38;1,12;8,36
134;1128,81;1,13;8,43
135;1137,09;1,14;8,28
136;1145,44;1,15;8,35
137;1153,79;1,15;8,35
138;1162,34;1,16;8,55
139;1170,74;1,17;8,4
140;1179,09;1,18;8,35
141;1187,52;1,19;8,43
142;1196,28;1,2;8,76
143;1204,6;1,2;8,32
144;1213,32;1,21;8,72
145;1221,9;1,22;8,58
146;1230,55;1,23;8,65
147;1239,06;1,24;8,51
148;1247,58;1,25;8,52
149;1255,97;1,26;8,39
150;1264,52;1,26;8,55
151;1272,88;1,27;8,36
152;1281,41;1,28;8,53
153;1289,7;1,29;8,29
154;1298,19;1,3;8,49
155;1306,7;1,31;8,51
156;1315,37;1,32;8,67
157;1323,73;1,32;8,36
158;1332,23;1,33;8,5
159;1340,54;1,34;8,31
160;1349,43;1,35;8,89
161;1358,25;1,36;8,82
162;1366,95;1,37;8,7
163;1375,57;1,38;8,62
164;1384,28;1,38;8,71
165;1392,76;1,39;8,48
166;1401,26;1,4;8,5
167;1409,64;1,41;8,38
168;1418,01;1,42;8,37
169;1426,43;1,43;8,42
170;1434,91;1,43;8,48
171;1443,32;1,44;8,41
172;1452,71;1,45;9,39
173;1461,27;1,46;8,56
174;1469,86;1,47;8,59
175;1478,26;1,48;8,4
176;1486,65;1,49;8,39
177;1494,92;1,49;8,27
178;1503,31;1,5;8,39
179;1511,82;1,51;8,51
180;1520,25;1,52;8,43
181;1528,89;1,53;8,64
182;1537,33;1,54;8,44
183;1545,85;1,55;8,52
184;1554,39;1,55;8,54
185;1563,3;1,56;8,91
186;1571,58;1,57;8,28
187;1579,88;1,58;8,3
188;1588,16;1,59;8,28
189;1596,69;1,6;8,53
190;1605,09;1,61;8,4
191;1614,31;1,61;9,22
192;1622,9;1,62;8,59
193;1631,67;1,63;8,77
194;1640,52;1,64;8,85
195;1649,32;1,65;8,8
196;1657,97;1,66;8,65
197;1666,29;1,67;8,32
198;1674,64;1,67;8,35
199;1682,93;1,68;8,29
200;1692,24;1,69;9,31
201;1700,84;1,7;8,6
202;1709,26;1,71;8,42
203;1717,6;1,72;8,34
204;1725,72;1,73;8,12
205;1734,84;1,73;9,12
206;1743,53;1,74;8,69
207;1751,9;1,75;8,37
208;1760,6;1,76;8,7
209;1773,76;1,77;13,16
210;1782,77;1,78;9,01
211;1791,24;1,79;8,47
212;1799,73;1,8;8,49
213;1808,28;1,81;8,55
214;1816,86;1,82;8,58
215;1825,17;1,83;8,31
216;1833,64;1,83;8,47
217;1842,11;1,84;8,47
218;1850,84;1,85;8,73
219;1859,28;1,86;8,44
220;1867,59;1,87;8,31
221;1875,76;1,88;8,17
222;1884,02;1,88;8,26
223;1892,78;1,89;8,76
224;1901,42;1,9;8,64
225;1909,86;1,91;8,44
226;1918,37;1,92;8,51
227;1926,88;1,93;8,51
228;1935,45;1,94;8,57
229;1944,83;1,94;9,38
230;1953,66;1,95;8,83
231;1962,06;1,96;8,4
232;1970,28;1,97;8,22
233;1978,71;1,98;8,43
234;1987,27;1,99;8,56
235;1995,75;2;8,48
236;2003,99;2;8,24
237;2012,68;2,01;8,69
238;2021,91;2,02;9,23
239;2030,21;2,03;8,3
240;2038,52;2,04;8,31
241;2046,84;2,05;8,32
242;2055,21;2,06;8,37
243;2063,58;2,06;8,37
244;2072,15;2,07;8,57
245;2080,71;2,08;8,56
246;2089,32;2,09;8,61
247;2097,66;2,1;8,34
248;2106,48;2,11;8,82
249;2114,95;2,11;8,47
250;2123,28;2,12;8,33
251;2131,94;2,13;8,66
252;2140,47;2,14;8,53
253;2148,89;2,15;8,42
254;2158,07;2,16;9,18
255;2166,72;2,17;8,65
256;2176,38;2,18;9,66
257;2185,14;2,19;8,76
258;2193,74;2,19;8,6
259;2202,12;2,2;8,38
260;2214,16;2,21;12,04
261;2223,65;2,22;9,49
262;2232,13;2,23;8,48
263;2240,66;2,24;8,53
264;2249,13;2,25;8,47
265;2257,4;2,26;8,27
266;2265,66;2,27;8,26
267;2274,01;2,27;8,35
268;2282,43;2,28;8,42
269;2291,4;2,29;8,97
270;2299,59;2,3;8,19
271;2307,81;2,31;8,22
272;2316,13;2,32;8,32
273;2324,46;2,32;8,33
274;2332,94;2,33;8,48
275;2341,15;2,34;8,21
276;2349,72;2,35;8,57
277;2358,92;2,36;9,2
278;2367,49;2,37;8,57
279;2376,27;2,38;8,78
280;2384,61;2,38;8,34
281;2392,85;2,39;8,24
282;2401,47;2,4;8,62
283;2409,69;2,41;8,22
284;2417,93;2,42;8,24
285;2427,06;2,43;9,13
286;2435,44;2,44;8,38
287;2443,78;2,44;8,34
288;2452,3;2,45;8,52
289;2461,02;2,46;8,72
290;2469,36;2,47;8,34
291;2478,05;2,48;8,69
292;2486,47;2,49;8,42
293;2494,68;2,49;8,21
294;2502,92;2,5;8,24
295;2511,38;2,51;8,46
296;2519,84;2,52;8,46
297;2528,51;2,53;8,67
298;2537,01;2,54;8,5
299;2545,47;2,55;8,46
300;2554;2,55;8,53
301;2562,23;2,56;8,23
302;2570,45;2,57;8,22
303;2578,9;2,58;8,45
304;2587,4;2,59;8,5
305;2595,85;2,6;8,45
306;2604,08;2,6;8,23
307;2612,52;2,61;8,44
308;2620,73;2,62;8,21
309;2629,16;2,63;8,43
310;2637,26;2,64;8,1
311;2645,64;2,65;8,38
312;2653,92;2,65;8,28
313;2662,82;2,66;8,9
314;2670,92;2,67;8,1
315;2679,13;2,68;8,21
316;2687,27;2,69;8,14
317;2695,43;2,7;8,16
318;2704;2,7;8,57
319;2712,25;2,71;8,25
320;2720,57;2,72;8,32
321;2728,98;2,73;8,41
322;2737,68;2,74;8,7
323;2745,97;2,75;8,29
324;2754,81;2,75;8,84
325;2763,04;2,76;8,23
326;2771,38;2,77;8,34
327;2780,33;2,78;8,95
328;2788,42;2,79;8,09
329;2796,7;2,8;8,28
330;2805,09;2,81;8,39
331;2813,12;2,81;8,03
332;2821,35;2,82;8,23
